Machine,Status,Start_DTTM,Stop_DTTM,Duration,error_code,error_name,stopped_reason
OB1F_FICO#04,Run,2021/7/14 10:45,2021/7/14 10:53,8,NA,NA,NA
OB1F_FICO#04,Stop,2021/7/14 10:53,2021/7/14 10:53,0,80,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
OB1F_FICO#04,Run,2021/7/14 10:53,2021/7/14 10:54,1,NA,NA,Auto
OB1F_FICO#04,Run,2021/7/14 10:55,2021/7/14 11:03,8,NA,NA,Auto
OB1F_FICO#04,Run,2021/7/14 11:04,2021/7/14 11:07,3,NA,NA,NA
OB1F_FICO#04,Stop,2021/7/14 11:07,2021/7/14 11:07,0,80,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
OB1F_FICO#04,Run,2021/7/14 11:07,2021/7/14 11:09,2,NA,NA,NA
OB1F_FICO#04,Stop,2021/7/14 11:09,2021/7/14 11:10,1,73,SAFETY-PIN ERROR PRESS1: 2S12,Auto
OB1F_FICO#04,Run,2021/7/14 11:10,2021/7/14 11:10,0,NA,NA,NA
OB1F_FICO#04,Stop,2021/7/14 11:10,2021/7/14 11:11,1,185,VISION LEADFRAME NOT FOUND PRESS1: VISION INFEED,Auto
OB1F_FICO#04,Run,2021/7/14 11:11,2021/7/14 11:12,1,NA,NA,NA
OB1F_FICO#04,Run,2021/7/14 11:12,2021/7/14 11:12,0,NA,NA,NA
OB1F_FICO#04,Run,2021/7/14 11:12,2021/7/14 11:24,12,NA,NA,Auto
OB1F_FICO#04,Run,2021/7/14 11:25,2021/7/14 11:30,5,NA,NA,NA
OB1F_FICO#04,Stop,2021/7/14 11:30,2021/7/14 11:30,0,80,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
OB1F_FICO#04,Run,2021/7/14 11:30,2021/7/14 11:30,0,NA,NA,NA
OB1F_FICO#04,Stop,2021/7/14 11:30,2021/7/14 11:30,0,80,SAFETYPIN ERROR SEPARATION SEPARATOR,Auto
OB1F_FICO#04,Run,2021/7/14 11:30,2021/7/14 11:30,0,NA,NA,NA
OB1F_FICO#04,Run,2021/7/14 11:30,2021/7/14 11:31,1,NA,NA,NA
OB1F_FICO#04,Run,2021/7/14 11:31,2021/7/14 11:42,11,NA,NA,Auto
OB1F_FICO#04,Run,2021/7/14 12:08,2021/7/14 12:08,0,NA,NA,MA
OB1F_FICO#04,Run,2021/7/14 12:09,2021/7/14 12:10,1,NA,NA,MA
OB1F_FICO#04,Run,2021/7/14 12:10,2021/7/14 12:10,0,NA,NA,NA
OB1F_FICO#04,Run,2021/7/14 12:10,2021/7/14 12:10,0,NA,NA,NA
OB1F_FICO#04,Run,2021/7/14 12:13,2021/7/14 12:14,1,NA,NA,NA
OB1F_FICO#04,Stop,2021/7/14 12:14,2021/7/14 12:14,0,24,LEADFRAME NOT PICKED UP BY VACUUMHEAD LOAD UNIT: 1S22,Auto
OB1F_FICO#04,Run,2021/7/14 12:14,2021/7/14 12:15,1,NA,NA,NA
OB1F_FICO#04,Stop,2021/7/14 12:15,2021/7/14 12:19,4,24,LEADFRAME NOT PICKED UP BY VACUUMHEAD OFFL UNIT: 1S22,Auto
OB1F_FICO#04,Run,2021/7/14 12:19,2021/7/14 12:20,1,NA,NA,Auto
OB1F_FICO#04,Run,2021/7/14 12:20,2021/7/14 12:20,0,NA,NA,MA
OB1F_FICO#04,Run,2021/7/14 12:21,2021/7/14 12:21,0,NA,NA,Auto
OB1F_FICO#04,Run,2021/7/14 12:38,2021/7/14 12:39,1,NA,NA,NA
OB1F_FICO#04,Stop,2021/7/14 12:43,2021/7/14 12:43,0,73,SAFETY-PIN ERROR PRESS1: 2S12,Auto
OB1F_FICO#04,Run,2021/7/14 12:43,2021/7/14 12:43,0,NA,NA,NA
OB1F_FICO#04,Run,2021/7/14 12:44,2021/7/14 12:45,1,NA,NA,NA
OB1F_FICO#04,Run,2021/7/14 12:59,2021/7/14 13:15,16,NA,NA,Auto
OB1F_FICO#04,Run,2021/7/14 13:16,2021/7/14 13:32,16,NA,NA,Auto
OB1F_FICO#04,Run,2021/7/14 13:34,2021/7/14 13:39,5,NA,NA,NA
OB1F_FICO#04,Stop,2021/7/14 13:39,2021/7/14 13:39,0,46,FRAME INSPECTION FAILED PRESS2: VISION OUTFEED,Auto
OB1F_FICO#04,Run,2021/7/14 13:39,2021/7/14 13:39,0,NA,NA,NA
OB1F_FICO#04,Stop,2021/7/14 13:39,2021/7/14 13:40,1,24,LEADFRAME NOT PICKED UP BY VACUUMHEAD OFFL UNIT: 1S22,Auto
OB1F_FICO#04,Run,2021/7/14 13:40,2021/7/14 13:51,11,NA,NA,Auto
OB1F_FICO#04,Run,2021/7/14 13:52,2021/7/14 14:08,16,NA,NA,Auto
OB1F_FICO#04,Run,2021/7/14 14:09,2021/7/14 14:21,12,NA,NA,Auto
OB1F_FICO#04,Run,2021/7/14 14:23,2021/7/14 14:40,17,NA,NA,Auto
OB1F_FICO#04,Run,2021/7/14 14:53,2021/7/14 14:54,1,NA,NA,NA
OB1F_FICO#04,Run,2021/7/14 14:55,2021/7/14 15:11,16,NA,NA,Auto
OB1F_FICO#04,Run,2021/7/14 16:06,2021/7/14 16:15,9,NA,NA,NA
OB1F_FICO#04,Stop,2021/7/14 16:15,2021/7/14 16:15,0,46,FRAME INSPECTION FAILED PRESS2: VISION OUTFEED,Auto
OB1F_FICO#04,Run,2021/7/14 16:15,2021/7/14 16:20,5,NA,NA,NA
OB1F_FICO#04,Stop,2021/7/14 16:20,2021/7/14 16:21,1,46,FRAME INSPECTION FAILED PRESS2: VISION OUTFEED,Auto
OB1F_FICO#04,Run,2021/7/14 16:21,2021/7/14 16:25,4,NA,NA,Auto
OB1F_FICO#04,Run,2021/7/14 17:04,2021/7/14 17:04,0,NA,NA,NA
OB1F_FICO#04,Stop,2021/7/14 17:04,2021/7/14 17:05,1,131,UNEXPECTED PRODUCT AT BUFFER SEPARATOR: BUFFER VISION,Auto
OB1F_FICO#04,Run,2021/7/14 17:05,2021/7/14 17:05,0,NA,NA,NA
OB1F_FICO#04,Stop,2021/7/14 17:05,2021/7/14 17:05,0,131,UNEXPECTED PRODUCT AT BUFFER SEPARATOR: BUFFER VISION,Auto
OB1F_FICO#04,Run,2021/7/14 17:05,2021/7/14 17:05,0,NA,NA,NA
OB1F_FICO#04,Stop,2021/7/14 17:05,2021/7/14 17:52,47,131,UNEXPECTED PRODUCT AT BUFFER SEPARATOR: BUFFER VISION,Auto
OB1F_FICO#04,Run,2021/7/14 17:52,2021/7/14 17:53,1,NA,NA,NA
OB1F_FICO#04,Run,2021/7/14 17:55,2021/7/14 17:55,0,NA,NA,NA
OB1F_FICO#04,Run,2021/7/14 17:57,2021/7/14 17:58,1,NA,NA,Auto
OB1F_FICO#04,Run,2021/7/14 17:58,2021/7/14 17:59,1,NA,NA,NA
OB1F_FICO#04,Run,2021/7/14 18:00,2021/7/14 18:00,0,NA,NA,NA
OB1F_FICO#04,Stop,2021/7/14 18:00,2021/7/14 18:00,0,193,OFFLOAD HEAD NOT DOWN SEPARATOR,Auto
OB1F_FICO#04,Run,2021/7/14 18:00,2021/7/14 18:01,1,NA,NA,NA
OB1F_FICO#04,Stop,2021/7/14 18:01,2021/7/14 18:01,0,193,OFFLOAD HEAD NOT DOWN SEPARATOR,Auto
OB1F_FICO#04,Run,2021/7/14 18:01,2021/7/14 18:02,1,NA,NA,NA
OB1F_FICO#04,Stop,2021/7/14 18:02,2021/7/14 18:02,0,193,OFFLOAD HEAD NOT DOWN SEPARATOR,Auto
OB1F_FICO#04,Stop,2021/7/14 18:02,2021/7/14 18:03,1,193,OFFLOAD HEAD NOT DOWN SEPARATOR,Auto
OB1F_FICO#04,Stop,2021/7/14 18:04,2021/7/14 18:04,0,255,PARAMETER ERROR SEPARATOR,Auto
OB1F_FICO#04,Stop,2021/7/14 18:05,2021/7/14 18:05,0,193,OFFLOAD HEAD NOT DOWN SEPARATOR,Auto
