serial,log_datetime,machine_name,event_type,status_name,error_code,error_name,stopped_reason
7060194,2021/7/1 17:06,OB1F_FICO#02,STATUS,FINISHED,,,Auto
7060232,2021/7/1 17:08,OB1F_FICO#02,STATUS,STARTED,,,
7060243,2021/7/1 17:09,OB1F_FICO#02,ERROR,ERROR,46,FRAME INSPECTION FAILED PRESS2: VISION OUTFEED,
7060245,2021/7/1 17:09,OB1F_FICO#02,STATUS,FINISHED,,,Auto
7060272,2021/7/1 17:10,OB1F_FICO#02,ALARM,Begin Repair,,,
7060282,2021/7/1 17:10,OB1F_FICO#02,STATUS,STARTED,,,
7060293,2021/7/1 17:15,OB1F_FICO#02,STATUS,FINISHED,,,MA
7060325,2021/7/1 17:15,OB1F_FICO#02,STATUS,STARTED,,,
7260859,2021/7/1 17:27,OB1F_FICO#02,STATUS,FINISHED,,,MA
7260891,2021/7/1 17:27,OB1F_FICO#02,MACHINE,State: Specific Running Continuous,,,
7296638,2021/7/1 17:27,OB1F_FICO#02,MACHINE,State: Specific Running Continuous,,,
7296648,2021/7/1 17:28,OB1F_FICO#02,STATUS,STARTED,,,
