serial,log_datetime,machine_name,event_type,status_name,error_code,error_name,stopped_reason
6434427,2021/7/1 17:00,OB1F_FICO#04,STATUS,FINISHED,,,MA
6443291,2021/7/1 17:00,OB1F_FICO#04,STATUS,FINISHED,,,Auto
6443298,2021/7/1 17:01,OB1F_FICO#04,STATUS,STARTED,,,
6481362,2021/7/1 17:03,OB1F_FICO#04,ERROR,ERROR,200,OFFLOAD HEAD PUSHER BLOCKED SEPARATOR,
6481364,2021/7/1 17:03,OB1F_FICO#04,STATUS,FINISHED,,,Auto
6565206,2021/7/1 17:05,OB1F_FICO#04,ALARM,Begin Repair,,,
6565240,2021/7/1 17:05,OB1F_FICO#04,STATUS,STARTED,,,
6628942,2021/7/1 17:02,Site2-FICO#03,ERROR,ERROR,100,NO EMPTY TRAYS AVAILABLE TRAY OFFLOADER,
6628944,2021/7/1 17:02,Site2-FICO#03,STATUS,FINISHED,,,Auto
6634302,2021/7/1 17:03,Site2-FICO#05,STATUS,STARTED,,,
6644863,2021/7/1 17:01,Site2-FICO#06,ERROR,ERROR,11,LEADFRAME STUCK AT INFEED LOAD UNIT: 1S28,
6644865,2021/7/1 17:01,Site2-FICO#06,STATUS,FINISHED,,,Auto
6668340,2021/7/1 17:04,Site2-FICO#05,STATUS,FINISHED,,,Auto
6668355,2021/7/1 17:04,Site2-FICO#05,STATUS,STARTED,,,
6668364,2021/7/1 17:04,Site2-FICO#05,STATUS,FINISHED,,,Auto
6668388,2021/7/1 17:05,Site2-FICO#05,MACHINE,State: Specific Running Continuous,,,
6668391,2021/7/1 17:05,Site2-FICO#05,STATUS,FINISHED,,,Auto
6668398,2021/7/1 17:05,Site2-FICO#05,MACHINE,State: Specific Running Continuous,,,
6668412,2021/7/1 17:05,Site2-FICO#05,STATUS,FINISHED,,,MA
6668427,2021/7/1 17:05,Site2-FICO#05,STATUS,STARTED,,,
6681713,2021/7/1 17:07,OB1F_FICO#04,ERROR,ERROR,73,SAFETY-PIN ERROR PRESS1: 2S12,
6681715,2021/7/1 17:07,OB1F_FICO#04,STATUS,FINISHED,,,Auto
6681741,2021/7/1 17:08,OB1F_FICO#04,ALARM,Begin Repair,,,
6681751,2021/7/1 17:08,OB1F_FICO#04,STATUS,STARTED,,,
6681762,2021/7/1 17:09,OB1F_FICO#04,STATUS,FINISHED,,,MA
6681801,2021/7/1 17:09,OB1F_FICO#04,STATUS,FINISHED,,,Reset
6681841,2021/7/1 17:09,OB1F_FICO#04,STATUS,FINISHED,,,Reset
6681869,2021/7/1 17:09,OB1F_FICO#04,MACHINE,State: Specific Running Continuous,,,
6681872,2021/7/1 17:09,OB1F_FICO#04,STATUS,FINISHED,,,Auto
6681879,2021/7/1 17:09,OB1F_FICO#04,STATUS,STARTED,,,
6681893,2021/7/1 17:11,OB1F_FICO#04,ERROR,ERROR,73,SAFETY-PIN ERROR PRESS1: 2S12,
6681895,2021/7/1 17:11,OB1F_FICO#04,STATUS,FINISHED,,,Auto
6681922,2021/7/1 17:12,OB1F_FICO#04,ALARM,Begin Repair,,,
6681932,2021/7/1 17:12,OB1F_FICO#04,STATUS,STARTED,,,
6687960,2021/7/1 17:13,OB1F_FICO#04,STATUS,FINISHED,,,Auto
6691818,2021/7/1 17:01,Site2-FICO#02,ERROR,ERROR,100,NO EMPTY TRAYS AVAILABLE TRAY OFFLOADER,
6691820,2021/7/1 17:01,Site2-FICO#02,STATUS,FINISHED,,,Auto
6720040,2021/7/1 17:07,Site2-FICO#06,ALARM,Begin Repair,,,
6720053,2021/7/1 17:07,Site2-FICO#06,STATUS,STARTED,,,
6735299,2021/7/1 17:05,OB1F_FICO#10,STATUS,STARTED,,,
6765270,2021/7/1 17:10,Site2-FICO#03,ALARM,Begin Repair,,,
6765280,2021/7/1 17:10,Site2-FICO#03,STATUS,STARTED,,,
6776878,2021/7/1 17:08,OB1F_FICO#08,ERROR,ERROR,48,SAFETYPIN ACTIVATED LASER1: 2S11/12,
6776880,2021/7/1 17:08,OB1F_FICO#08,STATUS,FINISHED,,,Auto
6776909,2021/7/1 17:09,OB1F_FICO#08,ALARM,Begin Repair,,,
6776920,2021/7/1 17:09,OB1F_FICO#08,STATUS,STARTED,,,
6795523,2021/7/1 17:03,OB1F_FICO#11,STATUS,FINISHED,,,Auto
6800962,2021/7/1 17:14,Site2-FICO#03,STATUS,FINISHED,,,Auto
6823732,2021/7/1 17:08,Site2-FICO#06,STATUS,FINISHED,,,Auto
6823753,2021/7/1 17:09,Site2-FICO#06,STATUS,STARTED,,,
