Machine,Status,Run
OB1F_FICO#03,Run,1 min
OB1F_FICO#03,Stop,3 min
OB1F_FICO#03,Run,14 min
OB1F_FICO#07,Stop,1 min
OB1F_FICO#07,Run,7 min
OB1F_FICO#07,Stop,1 min
OB1F_FICO#04,Run,2 min
OB1F_FICO#04,Stop,2 min
OB1F_FICO#04,Run,2 min
OB1F_FICO#04,Stop,1 min
OB1F_FICO#04,Run,1 min
OB1F_FICO#04,Stop,0 min
OB1F_FICO#04,Run,2 min
OB1F_FICO#04,Stop,1 min
OB1F_FICO#04,Run,5 min
OB1F_FICO#04,Stop,1 min
OB1F_FICO#05,Run,15 min
OB1F_FICO#05,Stop,0 min
OB1F_FICO#05,Run,2 min
OB1F_FICO#05,Stop,0 min
OB1F_FICO#05,Run,0 min
OB1F_FICO#05,Stop,0 min
Site2-FICO#03,Stop,8 min
Site2-FICO#03,Run,5 min
Site2-FICO#03,Stop,6 min
Site2-FICO#06,Stop,6 min
Site2-FICO#06,Run,3 min
Site2-FICO#06,Stop,3 min
Site2-FICO#06,Run,3 min
Site2-FICO#06,Stop,1 min
Site2-FICO#06,Run,8 min
Site2-FICO#06,Stop,3 min
Site2-FICO#06,Run,0 min
Site2-FICO#06,Stop,0 min
Site2-FICO#05,Run,4 min
Site2-FICO#05,Stop,1 min
Site2-FICO#05,Run,3 min
Site2-FICO#05,Stop,0 min
Site2-FICO#05,Run,5 min
Site2-FICO#05,Stop,2 min
Site2-FICO#05,Run,3 min
OB1F_FICO#11,Run,1 min
OB1F_FICO#11,Stop,0 min
OB1F_FICO#02,Run,1 min
OB1F_FICO#02,Stop,1 min
OB1F_FICO#02,Run,5 min
OB1F_FICO#02,Stop,0 min
OB1F_FICO#02,Run,12 min
OB1F_FICO#02,Stop,0 min
OB1F_FICO#08,Stop,1 min
OB1F_FICO#08,Run,1 min
OB1F_FICO#08,Stop,0 min
OB1F_FICO#08,Run,2 min
OB1F_FICO#08,Stop,0 min
OB1F_FICO#08,Run,1 min
OB1F_FICO#08,Stop,1 min
Site2-FICO#02,Stop,6 min
Site2-FICO#02,Run,3 min
Site2-FICO#02,Stop,6 min
Site2-FICO#02,Run,7 min
Site2-FICO#02,Stop,7 min
Site2-FICO#02,Run,0 min
Site2-FICO#02,Stop,0 min
