Machine_name,Status,DTTM,Even_type,Remark
OB1F_FICO#04,STARTED,2021/7/1 17:01,,
OB1F_FICO#04,FINISHED,2021/7/1 17:03,200.0,OFFLOAD HEAD PUSHER BLOCKED SEPARATOR
OB1F_FICO#04,ALARM,2021/7/1 17:05,Begin Repair,
OB1F_FICO#04,STARTED,2021/7/1 17:05,,
Site2-FICO#03,FINISHED,2021/7/1 17:02,100.0,NO EMPTY TRAYS AVAILABLE TRAY OFFLOADER
Site2-FICO#05,STARTED,2021/7/1 17:03,,
Site2-FICO#06,FINISHED,2021/7/1 17:01,11.0,LEADFRAME STUCK AT INFEED LOAD UNIT: 1S28
Site2-FICO#05,STARTED,2021/7/1 17:04,,
Site2-FICO#05,MACHINE,2021/7/1 17:05,,
Site2-FICO#05,MACHINE,2021/7/1 17:05,,
Site2-FICO#05,FINISHED,2021/7/1 17:05,MA,
Site2-FICO#05,STARTED,2021/7/1 17:05,,
OB1F_FICO#04,FINISHED,2021/7/1 17:07,73.0,SAFETY-PIN ERROR PRESS1: 2S12
OB1F_FICO#04,ALARM,2021/7/1 17:08,Begin Repair,
OB1F_FICO#04,STARTED,2021/7/1 17:08,,
OB1F_FICO#04,FINISHED,2021/7/1 17:09,MA,
OB1F_FICO#04,FINISHED,2021/7/1 17:09,Reset,
OB1F_FICO#04,FINISHED,2021/7/1 17:09,Reset,
OB1F_FICO#04,MACHINE,2021/7/1 17:09,,
OB1F_FICO#04,STARTED,2021/7/1 17:09,,
OB1F_FICO#04,FINISHED,2021/7/1 17:11,73.0,SAFETY-PIN ERROR PRESS1: 2S12
OB1F_FICO#04,ALARM,2021/7/1 17:12,Begin Repair,
OB1F_FICO#04,STARTED,2021/7/1 17:12,,
Site2-FICO#02,FINISHED,2021/7/1 17:01,100.0,NO EMPTY TRAYS AVAILABLE TRAY OFFLOADER
Site2-FICO#06,ALARM,2021/7/1 17:07,Begin Repair,
Site2-FICO#06,STARTED,2021/7/1 17:07,,
OB1F_FICO#10,STARTED,2021/7/1 17:05,,
Site2-FICO#03,ALARM,2021/7/1 17:10,Begin Repair,
Site2-FICO#03,STARTED,2021/7/1 17:10,,
OB1F_FICO#08,FINISHED,2021/7/1 17:08,48.0,SAFETYPIN ACTIVATED LASER1: 2S11/12
OB1F_FICO#08,ALARM,2021/7/1 17:09,Begin Repair,
OB1F_FICO#08,STARTED,2021/7/1 17:09,,
Site2-FICO#06,STARTED,2021/7/1 17:09,,
Site2-FICO#06,FINISHED,2021/7/1 17:12,100.0,NO EMPTY TRAYS AVAILABLE TRAY OFFLOADER
Site2-FICO#02,ALARM,2021/7/1 17:07,Begin Repair,
Site2-FICO#02,STARTED,2021/7/1 17:07,,
Site2-FICO#02,FINISHED,2021/7/1 17:10,100.0,NO EMPTY TRAYS AVAILABLE TRAY OFFLOADER
Site2-FICO#05,FINISHED,2021/7/1 17:09,200.0,OFFLOAD HEAD PUSHER BLOCKED SEPARATOR
Site2-FICO#05,ALARM,2021/7/1 17:10,Begin Repair,
Site2-FICO#05,STARTED,2021/7/1 17:10,,
Site2-FICO#05,STARTED,2021/7/1 17:13,,
OB1F_FICO#07,FINISHED,2021/7/1 17:08,24.0,LEADFRAME NOT PICKED UP BY VACUUMHEAD LOAD UNIT: 1S22
OB1F_FICO#07,ALARM,2021/7/1 17:09,Begin Repair,
OB1F_FICO#07,STARTED,2021/7/1 17:09,,
OB1F_FICO#07,FINISHED,2021/7/1 17:16,24.0,LEADFRAME NOT PICKED UP BY VACUUMHEAD LOAD UNIT: 1S22
OB1F_FICO#11,STARTED,2021/7/1 17:08,,
OB1F_FICO#04,STARTED,2021/7/1 17:24,,
OB1F_FICO#11,FINISHED,2021/7/1 17:09,46.0,FRAME INSPECTION FAILED PRESS1: VISION OUTFEED
OB1F_FICO#11,ALARM,2021/7/1 17:09,Begin Repair,
OB1F_FICO#11,STARTED,2021/7/1 17:09,,
OB1F_FICO#05,STARTED,2021/7/1 17:10,,
OB1F_FICO#05,FINISHED,2021/7/1 17:25,46.0,FRAME INSPECTION FAILED PRESS2: VISION OUTFEED
Site2-FICO#05,STARTED,2021/7/1 17:21,,
OB1F_FICO#05,ALARM,2021/7/1 17:25,Begin Repair,
OB1F_FICO#05,STARTED,2021/7/1 17:25,,
OB1F_FICO#05,FINISHED,2021/7/1 17:27,46.0,FRAME INSPECTION FAILED PRESS2: VISION OUTFEED
OB1F_FICO#05,ALARM,2021/7/1 17:27,Begin Repair,
OB1F_FICO#05,STARTED,2021/7/1 17:27,,
OB1F_FICO#05,FINISHED,2021/7/1 17:27,MA,
OB1F_FICO#05,STARTED,2021/7/1 17:27,,
OB1F_FICO#10,STARTED,2021/7/1 17:23,,
OB1F_FICO#02,STARTED,2021/7/1 17:08,,
OB1F_FICO#02,FINISHED,2021/7/1 17:09,46.0,FRAME INSPECTION FAILED PRESS2: VISION OUTFEED
OB1F_FICO#02,ALARM,2021/7/1 17:10,Begin Repair,
OB1F_FICO#02,STARTED,2021/7/1 17:10,,
OB1F_FICO#02,FINISHED,2021/7/1 17:15,MA,
OB1F_FICO#02,STARTED,2021/7/1 17:15,,
OB1F_FICO#04,FINISHED,2021/7/1 17:29,131.0,UNEXPECTED PRODUCT AT BUFFER SEPARATOR: BUFFER VISION
OB1F_FICO#04,ALARM,2021/7/1 17:30,Begin Repair,
OB1F_FICO#04,STARTED,2021/7/1 17:30,,
OB1F_FICO#07,ALARM,2021/7/1 17:17,Begin Repair,
OB1F_FICO#07,STARTED,2021/7/1 17:17,,
OB1F_FICO#07,MACHINE,2021/7/1 17:24,,
OB1F_FICO#07,STARTED,2021/7/1 17:28,,
OB1F_FICO#03,STARTED,2021/7/1 17:09,,
OB1F_FICO#03,FINISHED,2021/7/1 17:10,MA,
OB1F_FICO#03,STARTED,2021/7/1 17:13,,
Site2-FICO#06,ALARM,2021/7/1 17:15,Begin Repair,
Site2-FICO#06,STARTED,2021/7/1 17:15,,
Site2-FICO#06,FINISHED,2021/7/1 17:18,72.0,TRAY NOT CENTERED TRAY OFFLOADER
Site2-FICO#06,ALARM,2021/7/1 17:19,Begin Repair,
Site2-FICO#06,STARTED,2021/7/1 17:19,,
Site2-FICO#06,STARTED,2021/7/1 17:24,,
MB4F_FICO#04,FINISHED,2021/7/1 17:05,73.0,SAFETY-PIN ERROR PRESS1: 2S12
Site2-FICO#05,FINISHED,2021/7/1 17:24,200.0,OFFLOAD HEAD PUSHER BLOCKED SEPARATOR
Site2-FICO#05,ALARM,2021/7/1 17:24,Begin Repair,
Site2-FICO#05,STARTED,2021/7/1 17:24,,
Site2-FICO#02,ALARM,2021/7/1 17:16,Begin Repair,
Site2-FICO#02,STARTED,2021/7/1 17:16,,
Site2-FICO#02,STARTED,2021/7/1 17:18,,
Site2-FICO#02,FINISHED,2021/7/1 17:25,100.0,NO EMPTY TRAYS AVAILABLE TRAY OFFLOADER
Site2-FICO#02,FINISHED,2021/7/1 17:25,200.0,OFFLOAD HEAD PUSHER BLOCKED SEPARATOR
Site2-FICO#03,STARTED,2021/7/1 17:24,,
